UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,Logical Model.gov.nih.nci.logging.api.domain.LogMessage,LogMessage represents a log message created by Common Logging Module. It can represent event logs and/or object state log messages. ,Log,Log,ObjectClass,C45279,A written record of events.,NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,id,Primary Key of the Log Message Object,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,id,Primary Key of the Log Message Object,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,id,Primary Key of the Log Message Object,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,logLevel,"LogLevel indicates the log level to be logged. Possible values are the Log4j Log Levels specified in org.apache.log4j.Level. Check the class for all possible values. Example values are OFF, FATAL, ERROR, WARN, INFO, DEBUG and ALL.",Log,Log,Property,C45279,A written record of events.,NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,logLevel,"LogLevel indicates the log level to be logged. Possible values are the Log4j Log Levels specified in org.apache.log4j.Level. Check the class for all possible values. Example values are OFF, FATAL, ERROR, WARN, INFO, DEBUG and ALL.",Level,Level,Property,C25554,"A position on a scale measuring intensity, quality, or amount.",NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,thread,The name of thread object in which this log was generated.,Thread_Device_Component,Thread Device Component,Property,C50323,,,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,userName,The login username of the user. The user is the end user of the client application which uses CLM for logging. This way we can retrieve and audit all the logs generated by a particular user.,Login_Name,Login Name,Property,C42694,The account name used by a person to access a computer system.,NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,userName,The login username of the user. The user is the end user of the client application which uses CLM for logging. This way we can retrieve and audit all the logs generated by a particular user.,User,User,Property,C42745,"An individual who uses a computer, program, network, or related service for work or entertainment.",NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,userName,The login username of the user. The user is the end user of the client application which uses CLM for logging. This way we can retrieve and audit all the logs generated by a particular user.,Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
Logical Model.gov.nih.nci.logging.api.domain.LogMessage,sessionID,The HTTP Session Id of the logged in user in case of a web application. This field is useful to track all the operations that are performed by the user during a session.,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,0
